participant,name,roll,email,exp_type_1,exp_type_2,exp_type_3,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.d6373d74-b411-44f8-b880-8ecd0b792d50.txt,12783,11006,9197,"","","",23564,2020-04-17-14-50,2020-04-17-15-03,13
s.58af24a8-2be7-4cc2-b210-2a097f6e22f2.txt,"","","","","","",351064,2020-04-19-11-53,"",""
s.debcc539-c49a-4a5e-913f-0f5f5e1ea2b2.txt,7443,5090,9823,"","","",15296,2020-04-19-02-16,2020-04-19-02-28,12
s.83b072ec-0a96-43fe-bd47-7dc887790543.txt,5431,6207,11049,"","","",8411,2020-04-19-09-59,"",""
s.bc859a2b-3bcc-46c7-bf49-1bb710a72c62.txt,1697,827,5174,"","","",2415,2020-04-19-13-19,"",""
s.31f1f8d3-d095-444b-9b8b-0909f64acebf.txt,10130,5670,8320,"","","",2079,2020-04-18-17-06,2020-04-18-17-20,14
s.06dc64aa-ac9c-446c-9b16-6dd9ecf2455f.txt,7735,4540,7026,"","","",12161,2020-04-17-15-06,2020-04-17-15-27,21
s.3371d335-73e8-4300-9a33-29fd89b9eb4f.txt,3634,570,633,"","","",9915,2020-04-17-05-48,"",""
s.0cdfa6b6-209e-424e-a597-33e698ad472c.txt,10762,9512,9190,"","","",45052,2020-04-19-08-15,2020-04-19-08-28,13
s.0e6a6ed0-0218-4b18-b5b7-1e03733aeb4b.txt,1791,791,1622,"","","",2675,2020-04-19-13-24,"",""
s.0f92a466-23eb-4112-a8c7-4868849a0aff.txt,5523,5644,11778,"","","",1268,2020-04-19-08-09,"",""
s.d9de8ad9-49d7-4418-bbf7-e3593b41f67a.txt,8439,6971,11678,"","","",13206,2020-04-17-15-14,2020-04-17-15-27,13
s.bbf8dea2-df44-4e49-8530-200702d68de8.txt,4219,5335,8842,"","","",2985,2020-04-19-12-02,"",""
s.5a07f22f-37eb-42c8-9086-3526f571c761.txt,"","","","","","",8400,2020-04-17-14-51,"",""
s.d65662bf-ede5-4957-b9b4-5f45656abf41.txt,4258,2365,2814,"","","",117564,2020-04-19-15-29,"",""
s.5f919493-0260-4967-9e7c-289d94f29038.txt,11093,4942,9349,"","","",5798,2020-04-18-10-37,2020-04-18-10-49,12
s.ef04bc5f-f02b-4d75-8e77-0bc529b28412.txt,8919,3798,12531,"","","",27741,2020-04-19-12-33,"",""
s.54ddef0a-a00c-4aeb-bfc7-d40de1b0546d.txt,12655,3702,8023,"","","",8936,2020-04-17-18-33,2020-04-17-18-46,13
s.d4058d08-98d6-4f40-911f-3ca62ad45ed9.txt,12502,"","","","","",28800,2020-04-19-08-08,"",""
s.c875b2a9-3ef1-46d9-8a16-60602152f7d0.txt,"","","","","","",17554,2020-04-19-16-16,"",""
s.5be513a5-7c00-46ee-9644-3cb7958797f7.txt,606248,7440,7911,"","","",25727,2020-04-19-11-39,"",""
s.cc1cb8ae-db5b-4cd3-a05a-938f676d9c73.txt,6345,7579,16737,"","","",42673,2020-04-19-08-27,"",""
